PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_15586c74aff1e64417f5e037a6fccde7,2026-08-25,Android,25,12,755,0.750000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-25,iOS,5,3,196,1.000000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-26,Android,23,8,763,0.687500
app_15586c74aff1e64417f5e037a6fccde7,2026-08-26,iOS,7,3,199,0.750000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-27,Android,21,8,771,0.545455
app_15586c74aff1e64417f5e037a6fccde7,2026-08-27,iOS,1,1,200,1.000000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-28,Android,24,12,783,0.708333
app_15586c74aff1e64417f5e037a6fccde7,2026-08-28,iOS,4,0,200,0.750000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-29,Android,25,6,789,0.500000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-29,iOS,3,2,202,0.666667
app_15586c74aff1e64417f5e037a6fccde7,2026-08-30,Android,20,8,797,0.380952
app_15586c74aff1e64417f5e037a6fccde7,2026-08-30,iOS,1,1,203,1.000000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-31,Android,23,10,807,0.923077
app_15586c74aff1e64417f5e037a6fccde7,2026-08-31,iOS,5,4,207,0.800000
app_15586c74aff1e64417f5e037a6fccde7,2026-09-01,Android,20,8,815,0.473684
app_2b844d67b82792169b6db5ca1e21b4a0,2026-08-14,iOS,1,1,1,1.000000
app_2b844d67b82792169b6db5ca1e21b4a0,2026-08-18,iOS,1,0,1,0.000000
app_2b844d67b82792169b6db5ca1e21b4a0,2026-08-19,iOS,1,0,1,0.000000
app_4938d94f3b4c5e94d63b29ca05214cd5,2026-08-12,iOS,1,1,1,1.000000
app_4938d94f3b4c5e94d63b29ca05214cd5,2026-08-21,iOS,1,0,1,1.000000
